Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 53, TIDL_ConvolutionLayer, 256, 20, 20, 256, 20, 20, 256, ROW_L, 84, 96, 352, 800, 3, 0, 3,,,,,,,,, L2, DMA, 832, 832, 256, 213504, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 78080, ,,,,,,,, NONE, NA, 4608, 4608, 256, 0, 0, ffffffff, ,,,,,,,, 
 54, TIDL_ConcatLayer, 512, 20, 20, 512, 20, 20, 512,  COL, 0, 0, 800, 800, 4, 0, 4,,,,,,,,, L2, DMA, 840, 840, 256, 215040, 0, 0, ,,,,,,,, MSMC, CPU, 960, 880, 512, 491648, 40, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 55, TIDL_ConvolutionLayer, 512, 20, 20, 512, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 0, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, ,,,,,,,, MSMC, CPU, 960, 880, 512, 491648, 40, 78080, ,,,,,,,, NONE, NA, 1024, 1024, 512, 0, 0, ffffffff, ,,,,,,,, 
 56, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 0, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, MSMC, CPU, 192, 160, 256, 98304, 0, 0, DDR, DMA, 1152, 880, 256, 295936, 40, 0, ,,,,,,,, NONE, NA, 1024, 1024, 256, 0, 0, ffffffff, ,,,,,,,, 
 57, TIDL_ResizeLayer, 256, 20, 20, 256, 40, 40, 256,  COL, 0, 0, 880, 880, 4, 0, 4,,,,,,,,, L2, DMA, 960, 960, 128, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 3392, 3360, 256, 868480, 80, 80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 58, TIDL_ConcatLayer, 512, 40, 40, 512, 40, 40, 512,  COL, 0, 0, 3200, 3200, 32, 0, 32,,,,,,,,, L2, DMA, 3400, 3400, 32, 108800, 0, 0, MSMC, CPU, 3264, 3200, 32, 104448, 0, d4100, DDR, DMA, 3200, 3200, 512, 1639424, 0, 445400, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 59, TIDL_ConvolutionLayer, 512, 40, 40, 128, 40, 40, 512, ROW_L, 0, 0, 160, 3200, 20, 0, 20,,,,,,,,, L2, DMA, 320, 320, 512, 166912, 0, 0, MSMC, CPU, 192, 160, 128, 49152, 0, 0, DDR, DMA, 3456, 3200, 128, 443392, 0, 280c00, ,,,,,,,, NONE, NA, 1024, 1024, 128, 0, 0, ffffffff, ,,,,,,,, 
 60, TIDL_ConvolutionLayer, 512, 40, 40, 128, 40, 40, 512, ROW_L, 0, 0, 160, 3200, 20, 1, 20,,,,,,,,, L2, DMA, 320, 320, 512, 166912, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 22400, ,,,,,,,, MSMC, DMA, 1088, 1024, 128, 140288, 0, 0, ,,,,,,,, 
 61, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, DDR, CPU, 4800, 3200, 128, 615424, 0, 2ed000, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41984, 0, 0, ,,,,,,,, 
 62, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 768, 3200, 5, 0, 5,,,,,,,,, L2, DMA, 1728, 1728, 128, 223616, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 0, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 63, TIDL_ConcatLayer, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 3200, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 3280, 3280, 64, 209920, 0, 0, MSMC, CPU, 3264, 3200, 64, 208896, 0, 66080, DDR, DMA, 3360, 3360, 256, 861184, 80, 2ed000, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 64, TIDL_ConvolutionLayer, 256, 40, 40, 256, 40, 40, 256, ROW_L, 0, 0, 416, 3200, 8, 1, 8,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, MSMC, CPU, 448, 416, 256, 229376, 0, 0, DDR, DMA, 4032, 3360, 256, 1033216, 80, 3bf400, ,,,,,,,, MSMC, DMA, 576, 512, 256, 149504, 0, 66080, ,,,,,,,, 
 65, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 416, 3200, 8, 1, 8,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, MSMC, CPU, 448, 416, 128, 114688, 0, 12400, DDR, DMA, 4032, 3360, 128, 517120, 80, 48400, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74752, 0, 0, ,,,,,,,, 
 66, TIDL_ResizeLayer, 128, 40, 40, 128, 80, 80, 128,  COL, 0, 0, 3360, 3360, 4, 0, 4,,,,,,,,, L2, DMA, 3400, 3400, 64, 217600, 0, 0, ,,,,,,,, DDR, CPU, 13120, 13120, 128, 1680384, 160, 280c80, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 67, TIDL_ConcatLayer, 256, 80, 80, 256, 80, 80, 256,  COL, 0, 0, 12800, 12800, 32, 0, 32,,,,,,,,, L2, DMA, 13120, 13120, 16, 209920, 0, 0, MSMC, CPU, 12864, 12800, 16, 205824, 0, 0, DDR, DMA, 12800, 12800, 256, 3277824, 0, 41b080, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 68, TIDL_ConvolutionLayer, 256, 80, 80, 64, 80, 80, 256, ROW_L, 0, 0, 416, 12800, 31, 1, 31,,,,,,,,, L2, DMA, 832, 832, 256, 225280, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 576, 512, 64, 37376, 0, c9080, ,,,,,,,, 
 69, TIDL_ConvolutionLayer, 256, 80, 80, 64, 80, 80, 256, ROW_L, 0, 0, 416, 12800, 31, 1, 31,,,,,,,,, L2, DMA, 832, 832, 256, 225280, 0, 0, MSMC, CPU, 448, 416, 64, 57344, 0, d2280, DDR, DMA, 13440, 12800, 64, 861184, 0, c6800, ,,,,,,,, MSMC, DMA, 576, 512, 64, 37376, 0, c9080, ,,,,,,,, 
 70, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 1088, 12800, 12, 1, 12,,,,,,,,, L2, DMA, 2240, 2240, 64, 154368, 0, 0, MSMC, CPU, 1088, 1088, 64, 139264, 0, cc280, DDR, DMA, 14144, 12800, 64, 906240, 0, 1a2c00, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12800, 0, c9080, ,,,,,,,, 
 71, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 324, 352, 640, 12800, 20, 1, 20,,,,,,,,, L2, DMA, 1728, 1728, 64, 122240, 0, 0, L2, CPU, 704, 640, 64, 90112, 0, 1dd80, DDR, DMA, 14080, 12800, 64, 902144, 0, c6800, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78336, 0, c9080, ,,,,,,,, 
 72, TIDL_ConcatLayer, 128, 80, 80, 128, 80, 80, 128,  COL, 0, 0, 12800, 12800, 32, 0, 32,,,,,,,,, L2, DMA, 12880, 12880, 8, 103040, 0, 0, MSMC, CPU, 12864, 12800, 8, 102912, 0, c9080, DDR, DMA, 12800, 12800, 128, 1639424, 0, 280c00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 73, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, MSMC, CPU, 832, 800, 128, 212992, 0, 0, DDR, DMA, 14144, 12800, 128, 1811456, 0, c6800, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41984, 0, c9080, ,,,,,,,, 
 74, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, MSMC, CPU, 832, 800, 128, 212992, 0, a400, DDR, DMA, 14144, 12800, 128, 1811456, 0, 280c00, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41984, 0, 0, ,,,,,,,, 
 75, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 324, 352, 608, 12800, 21, 1, 21,,,,,,,,, L2, DMA, 1600, 1600, 128, 216448, 0, 0, ,,,,,,,, DDR, CPU, 14080, 12800, 128, 1803264, 0, 43b000, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 0, ,,,,,,,, 
 76, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 324, 352, 608, 12800, 21, 1, 21,,,,,,,,, L2, DMA, 1600, 1600, 128, 216448, 0, 0, ,,,,,,,, DDR, CPU, 14080, 12800, 128, 1803264, 0, 61f400, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 0, ,,,,,,,, 
 77, TIDL_ConvolutionLayer, 128, 80, 80, 6, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 6, 77312, 0, 0, ,,,,,,,, MSMC, DMA, 320, 256, 6, 2048, 0, 12e00, ,,,,,,,, 
 78, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 324, 352, 608, 12800, 21, 1, 21,,,,,,,,, L2, DMA, 1600, 1600, 128, 216448, 0, 0, ,,,,,,,, DDR, CPU, 14080, 12800, 128, 1803264, 0, 467000, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 12e00, ,,,,,,,, 
 79, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 324, 352, 608, 12800, 21, 1, 21,,,,,,,,, L2, DMA, 1600, 1600, 128, 216448, 0, 0, ,,,,,,,, DDR, CPU, 14080, 12800, 128, 1803264, 0, 2acc00, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 12e00, ,,,,,,,, 
 80, TIDL_ConvolutionLayer, 128, 80, 80, 4, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 4, 51584, 0, 12e00, ,,,,,,,, MSMC, DMA, 320, 256, 4, 1408, 0, 1f780, ,,,,,,,, 
 81, TIDL_ConvolutionLayer, 128, 80, 80, 1, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 1, 13056, 0, 1f780, ,,,,,,,, MSMC, DMA, 320, 256, 1, 384, 0, 22a80, ,,,,,,,, 
 82, TIDL_ConcatLayer, 11, 80, 80, 11, 80, 80, 11,  COL, 0, 0, 12800, 12800, 11, 0, 11,,,,,,,,, L2, DMA, 12880, 12880, 2, 25856, 0, 0, MSMC, CPU, 12864, 12800, 2, 25728, 0, 22a80, DDR, DMA, 12800, 12800, 11, 141824, 0, 280c00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 83, TIDL_ConvolutionLayer, 128, 80, 80, 128, 40, 40, 128, ROW_L, 160, 160, 640, 12800, 20, 0, 20,,,,,,,,, L2, DMA, 1472, 1472, 128, 200064, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3202, 128, 417920, 0, 0, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 84, TIDL_ConcatLayer, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 3200, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 3400, 3400, 64, 217600, 0, 0, MSMC, CPU, 3264, 3200, 64, 208896, 0, 66080, DDR, DMA, 3200, 3200, 256, 820224, 0, c6800, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 85, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 416, 3200, 8, 1, 8,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, MSMC, CPU, 448, 416, 128, 114688, 0, 0, DDR, DMA, 4032, 3200, 128, 517120, 0, 48400, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74752, 0, 66080, ,,,,,,,, 
 86, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 416, 3200, 8, 1, 8,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 12780, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74752, 0, 0, ,,,,,,,, 
 87, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 4a400, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41984, 0, 0, ,,,,,,,, 
 88, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 768, 3200, 5, 1, 5,,,,,,,,, L2, DMA, 1728, 1728, 128, 223616, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 4a400, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 0, ,,,,,,,, 
 89, TIDL_ConcatLayer, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 3200, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 3280, 3280, 64, 209920, 0, 0, MSMC, CPU, 3264, 3200, 64, 208896, 0, 0, DDR, DMA, 3200, 3200, 256, 820224, 0, c6800, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 90, TIDL_ConvolutionLayer, 256, 40, 40, 256, 40, 40, 256, ROW_L, 0, 0, 416, 3200, 8, 1, 8,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 256, 835712, 0, 24800, ,,,,,,,, MSMC, DMA, 576, 512, 256, 149504, 0, 0, ,,,,,,,, 
 91, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 224, 3200, 15, 1, 15,,,,,,,,, L2, DMA, 448, 448, 256, 117760, 0, 0, L2, CPU, 320, 224, 128, 81920, 0, 1cc00, DDR, DMA, 3520, 3200, 128, 451584, 0, 48400, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74752, 0, 0, ,,,,,,,, 
 92, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 576, 3200, 6, 0, 6,,,,,,,,, L2, DMA, 1344, 1344, 128, 174464, 0, 0, MSMC, CPU, 576, 576, 128, 147456, 0, 0, DDR, DMA, 4032, 3200, 128, 517120, 0, b6800, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 93, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 576, 3200, 6, 0, 6,,,,,,,,, L2, DMA, 1344, 1344, 128, 174464, 0, 0, MSMC, CPU, 576, 576, 128, 147456, 0, 0, DDR, DMA, 4032, 3200, 128, 517120, 0, 17d000, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 94, TIDL_ConvolutionLayer, 128, 40, 40, 6, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 6, 19712, 0, 0, ,,,,,,,, MSMC, DMA, 320, 256, 6, 2048, 0, 4d00, ,,,,,,,, 
 95, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 416, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 1088, 1088, 128, 141824, 0, 0, MSMC, CPU, 448, 416, 128, 114688, 0, 4d00, DDR, DMA, 4032, 3200, 128, 517120, 0, b6800, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 96, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 416, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 1088, 1088, 128, 141824, 0, 0, MSMC, CPU, 448, 416, 128, 114688, 0, 4d00, DDR, DMA, 4032, 3200, 128, 517120, 0, 17d000, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 97, TIDL_ConvolutionLayer, 128, 40, 40, 4, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 4, 13184, 0, da00, ,,,,,,,, MSMC, DMA_ONCE, 320, 256, 4, 1408, 0, f1980, ,,,,,,,, 
 98, TIDL_ConvolutionLayer, 128, 40, 40, 1, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 1, 3456, 0, 10d80, ,,,,,,,, MSMC, DMA, 320, 256, 1, 384, 0, 4d00, ,,,,,,,, 
 99, TIDL_ConcatLayer, 11, 40, 40, 11, 40, 40, 11,  COL, 0, 0, 3200, 3200, 11, 0, 11,,,,,,,,, L2, DMA, 3280, 3280, 2, 6656, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 11, 36096, 0, 4d00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 100, TIDL_ConvolutionLayer, 256, 40, 40, 256, 20, 20, 256, ROW_L, 80, 80, 320, 3200, 10, 0, 10,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, ,,,,,,,, DDR, CPU, 1152, 802, 256, 295936, 0, 180c00, ,,,,,,,, NONE, NA, 4608, 4608, 256, 0, 0, ffffffff, ,,,,,,,, 
 101, TIDL_ConcatLayer, 512, 20, 20, 512, 20, 20, 512,  COL, 0, 0, 800, 800, 8, 0, 8,,,,,,,,, L2, DMA, 960, 960, 128, 122880, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 512, 426112, 0, da00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 102, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 0, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 75a80, ,,,,,,,, NONE, NA, 1024, 1024, 256, 0, 0, ffffffff, ,,,,,,,, 
 103, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 1, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, da00, ,,,,,,,, MSMC, DMA, 1088, 1024, 256, 280576, 0, a9b00, ,,,,,,,, 
 104, TIDL_ConvolutionLayer, 256, 20, 20, 256, 20, 20, 256, ROW_L, 0, 0, 416, 800, 2, 1, 2,,,,,,,,, L2, DMA, 832, 832, 256, 213120, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, da00, ,,,,,,,, MSMC, DMA, 576, 512, 256, 149504, 0, 41a80, ,,,,,,,, 
 105, TIDL_ConvolutionLayer, 256, 20, 20, 256, 20, 20, 256, ROW_L, 84, 96, 352, 800, 3, 0, 3,,,,,,,,, L2, DMA, 832, 832, 256, 213504, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, a9b00, ,,,,,,,, NONE, NA, 4608, 4608, 256, 0, 0, ffffffff, ,,,,,,,, 
 106, TIDL_ConcatLayer, 512, 20, 20, 512, 20, 20, 512,  COL, 0, 0, 800, 800, 4, 0, 4,,,,,,,,, L2, DMA, 840, 840, 256, 215040, 0, 0, MSMC, CPU, 832, 800, 256, 212992, 0, da00, DDR, DMA, 800, 800, 512, 410624, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 107, TIDL_ConvolutionLayer, 512, 20, 20, 512, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 0, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, MSMC, CPU, 192, 160, 512, 196608, 0, da00, DDR, DMA, 1152, 800, 512, 590848, 0, e5400, ,,,,,,,, NONE, NA, 1024, 1024, 512, 0, 0, ffffffff, ,,,,,,,, 
 108, TIDL_ConvolutionLayer, 512, 20, 20, 128, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 0, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 128, 106624, 0, da00, ,,,,,,,, NONE, NA, 1024, 1024, 128, 0, 0, ffffffff, ,,,,,,,, 
 109, TIDL_ConvolutionLayer, 128, 20, 20, 128, 20, 20, 128, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 107264, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 128, 106624, 0, 71e80, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 27a80, ,,,,,,,, 
 110, TIDL_ConvolutionLayer, 128, 20, 20, 128, 20, 20, 128, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 107264, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 128, 106624, 0, 71e80, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 27a80, ,,,,,,,, 
 111, TIDL_ConvolutionLayer, 128, 20, 20, 6, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 6, 5120, 0, 0, ,,,,,,,, MSMC, DMA_ONCE, 320, 256, 6, 2048, 0, f1180, ,,,,,,,, 
 112, TIDL_ConvolutionLayer, 128, 20, 20, 128, 20, 20, 128, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 107264, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 128, 106624, 0, da00, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 27a80, ,,,,,,,, 
 113, TIDL_ConvolutionLayer, 128, 20, 20, 128, 20, 20, 128, ROW_L, 84, 96, 704, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 107264, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 128, 106624, 0, da00, ,,,,,,,, MSMC, DMA, 2368, 2304, 128, 304128, 0, 27a80, ,,,,,,,, 
 114, TIDL_ConvolutionLayer, 128, 20, 20, 4, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 4, 3456, 0, 1980, ,,,,,,,, MSMC, DMA, 320, 256, 4, 1408, 0, 1400, ,,,,,,,, 
 115, TIDL_ConvolutionLayer, 128, 20, 20, 1, 20, 20, 128, ROW_L, 0, 0, 800, 800, 1, 1, 1,,,,,,,,, L2, DMA, 832, 832, 128, 106624, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 1, 1024, 0, 1580, ,,,,,,,, MSMC, DMA, 320, 256, 1, 384, 0, 1400, ,,,,,,,, 
 116, TIDL_ConcatLayer, 11, 20, 20, 11, 20, 20, 11,  COL, 0, 0, 800, 800, 11, 0, 11,,,,,,,,, L2, DMA, 840, 840, 2, 1792, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 11, 9344, 0, 2700, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 117, TIDL_DetectionOutputLayer, 11, 80, 80, 1, 1405, 1, 11,  COL, 0, 0, 12800, 12800, 11, 0, 11,,,,,,,,, L2, DMA, 12880, 12880, 2, 25856, 0, 0, L2, CPU, 0, 2810, 2, 0, 0, 0, MSMC, CPU, 5696, 5620, 1, 5888, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 118, TIDL_OdOutputReformatLayer, 1, 1405, 1, 1, 5, 200, 1,  COL, 0, 0, 2810, 2810, 1, 0, 1,,,,,,,,, L2, DMA, 4215, 4215, 1, 4224, 0, 0, MSMC, CPU, 2112, 2000, 2, 4224, 0, 1700, DDR, DMA, 4000, 4000, 1, 5120, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 120, TIDL_DataLayer, 1, 5, 200, 0, 0, 0, 1, FRAME, 0, 0, 1000, 1000, 1, 0, 1,,,,,,,,, L2, DMA, 0, 1000, 1, 0, 0, 0, ,,,,,,,, DDR, CPU, 1638400, 0, 0, 4916224, 0, 0, ,,,,,,,, MSMC, CPU, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
