Layer, Type, Ni, inW, inH, No, outW, outH, Ni/G, dataflowType, preFetch, preFetchAlign, procSize, inPlaneSize, dmaFreq, dmaFreqWt, kernelFreq, In-Read-memSpace, In-Read-accessor, In-Read-pitch, In-Read-width, In-Read-height, In-Read-size, In-Read-accessOffset, In-Read-baseAddress, In-Write-memSpace, In-Write-accessor, In-Write-pitch, In-Write-width, In-Write-height, In-Write-size, In-Write-accessOffset, In-Write-baseAddress, Out-Read-memSpace, Out-Read-accessor, Out-Read-pitch, Out-Read-width, Out-Read-height, Out-Read-size, Out-Read-accessOffset, Out-Read-baseAddress, Out-Write-memSpace, Out-Write-accessor, Out-Write-pitch, Out-Write-width, Out-Write-height, Out-Write-size, Out-Write-accessOffset, Out-Write-baseAddress, Wt-Read-memSpace, Wt-Read-accessor, Wt-Read-pitch, Wt-Read-width, Wt-Read-height, Wt-Read-size, Wt-Read-accessOffset, Wt-Read-baseAddress, Wt-Write-memSpace, Wt-Write-accessor, Wt-Write-pitch, Wt-Write-width, Wt-Write-height, Wt-Write-size, Wt-Write-accessOffset, Wt-Write-baseAddress, Wt-Oneshot-memSpace, Wt-Oneshot-accessor, Wt-Oneshot-pitch, Wt-Oneshot-width, Wt-Oneshot-height, Wt-Oneshot-size, Wt-Oneshot-accessOffset, Wt-Oneshot-baseAddress, 
 10, TIDL_ConcatLayer, 64, 160, 160, 64, 160, 160, 64,  COL, 0, 0, 51200, 51200, 32, 0, 32,,,,,,,,, L2, DMA, 51360, 51360, 4, 205440, 0, 0, MSMC, CPU, 51264, 51200, 4, 205056, 0, 0, DDR, DMA, 51200, 51200, 64, 3277824, 0, 4ccc00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 11, TIDL_ConvolutionLayer, 64, 160, 160, 64, 160, 160, 64, ROW_L, 0, 0, 1376, 51200, 38, 1, 38,,,,,,,,, L2, DMA, 2752, 2752, 64, 225792, 0, 0, MSMC, CPU, 1472, 1376, 64, 188416, 0, 3200, DDR, DMA, 52992, 51200, 64, 3392512, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12800, 0, 0, ,,,,,,,, 
 12, TIDL_ConvolutionLayer, 64, 160, 160, 128, 80, 80, 64, ROW_L, 320, 320, 640, 51200, 80, 1, 80,,,,,,,,, L2, DMA, 1600, 1600, 64, 152448, 0, 0, MSMC, CPU, 192, 160, 128, 49152, 0, 26400, DDR, DMA, 13056, 12802, 128, 1672192, 0, 33c400, ,,,,,,,, MSMC, DMA, 1216, 1152, 128, 156672, 0, 0, ,,,,,,,, 
 13, TIDL_ConvolutionLayer, 128, 80, 80, 64, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, MSMC, CPU, 832, 800, 64, 106496, 0, 5200, DDR, DMA, 14144, 12800, 64, 906240, 0, 0, ,,,,,,,, MSMC, DMA, 320, 256, 64, 20992, 0, 0, ,,,,,,,, 
 14, TIDL_ConvolutionLayer, 128, 80, 80, 64, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, MSMC, CPU, 832, 800, 64, 106496, 0, 5200, DDR, DMA, 14144, 12800, 64, 906240, 0, dd400, ,,,,,,,, MSMC, DMA, 320, 256, 64, 20992, 0, 0, ,,,,,,,, 
 15, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 1664, 12800, 8, 1, 8,,,,,,,,, L2, DMA, 3392, 3392, 64, 227200, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12800, 0, c9080, ,,,,,,,, 
 16, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 324, 352, 1440, 12800, 9, 1, 9,,,,,,,,, L2, DMA, 3264, 3264, 64, 219136, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78336, 0, c9080, ,,,,,,,, 
 17, TIDL_EltWiseLayer, 128, 80, 80, 64, 80, 80, 128,  COL, 0, 0, 12800, 12800, 16, 0, 16,,,,,,,,, L2, DMA, 12880, 12880, 8, 206080, 0, 0, MSMC, CPU, 12864, 12800, 8, 102912, 0, c9080, DDR, DMA, 12800, 12800, 64, 820224, 0, 1ba800, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 18, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 1664, 12800, 8, 1, 8,,,,,,,,, L2, DMA, 3392, 3392, 64, 227200, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12800, 0, c9080, ,,,,,,,, 
 19, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 324, 352, 1440, 12800, 9, 1, 9,,,,,,,,, L2, DMA, 3264, 3264, 64, 219136, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78336, 0, c9080, ,,,,,,,, 
 20, TIDL_EltWiseLayer, 128, 80, 80, 64, 80, 80, 128,  COL, 0, 0, 12800, 12800, 16, 0, 16,,,,,,,,, L2, DMA, 12880, 12880, 8, 206080, 0, 0, MSMC, CPU, 12864, 12800, 8, 102912, 0, c9080, DDR, DMA, 12800, 12800, 64, 820224, 0, dd400, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 21, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 0, 0, 1664, 12800, 8, 1, 8,,,,,,,,, L2, DMA, 3392, 3392, 64, 227200, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 192, 128, 64, 12800, 0, c9080, ,,,,,,,, 
 22, TIDL_ConvolutionLayer, 64, 80, 80, 64, 80, 80, 64, ROW_L, 324, 352, 1440, 12800, 9, 1, 9,,,,,,,,, L2, DMA, 3264, 3264, 64, 219136, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 1216, 1152, 64, 78336, 0, c9080, ,,,,,,,, 
 23, TIDL_EltWiseLayer, 128, 80, 80, 64, 80, 80, 128,  COL, 0, 0, 12800, 12800, 16, 0, 16,,,,,,,,, L2, DMA, 12880, 12880, 8, 206080, 0, 0, ,,,,,,,, MSMC, CPU, 12864, 12800, 64, 823424, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 24, TIDL_ConcatLayer, 128, 80, 80, 128, 80, 80, 128,  COL, 0, 0, 12800, 12800, 16, 0, 16,,,,,,,,, L2, DMA, 12880, 12880, 16, 206080, 0, 0, ,,,,,,,, DDR, CPU, 12800, 12800, 128, 1639424, 0, 280c00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 25, TIDL_ConvolutionLayer, 128, 80, 80, 128, 80, 80, 128, ROW_L, 0, 0, 800, 12800, 16, 1, 16,,,,,,,,, L2, DMA, 1600, 1600, 128, 216192, 0, 0, MSMC, CPU, 832, 800, 128, 212992, 0, 0, DDR, DMA, 14144, 12800, 128, 1811456, 0, c6800, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41984, 0, c9080, ,,,,,,,, 
 26, TIDL_ConvolutionLayer, 128, 80, 80, 256, 40, 40, 128, ROW_L, 160, 160, 640, 12800, 20, 1, 20,,,,,,,,, L2, DMA, 1472, 1472, 128, 200064, 0, 0, MSMC, CPU, 192, 160, 256, 98304, 0, 94800, DDR, DMA, 3456, 3202, 256, 885760, 0, 280c00, ,,,,,,,, MSMC, DMA, 2368, 2304, 256, 608256, 0, 0, ,,,,,,,, 
 27, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 416, 3200, 8, 1, 8,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, MSMC, CPU, 448, 416, 128, 114688, 0, 12400, DDR, DMA, 4032, 3200, 128, 517120, 0, 0, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74752, 0, 0, ,,,,,,,, 
 28, TIDL_ConvolutionLayer, 256, 40, 40, 128, 40, 40, 256, ROW_L, 0, 0, 416, 3200, 8, 1, 8,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 0, ,,,,,,,, MSMC, DMA, 576, 512, 128, 74752, 0, 66080, ,,,,,,,, 
 29, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 70480, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41984, 0, 66080, ,,,,,,,, 
 30, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 768, 3200, 5, 0, 5,,,,,,,,, L2, DMA, 1728, 1728, 128, 223616, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 66b80, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 31, TIDL_EltWiseLayer, 256, 40, 40, 128, 40, 40, 256,  COL, 0, 0, 3200, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 3280, 3280, 32, 209920, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 32, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 70480, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41984, 0, 66080, ,,,,,,,, 
 33, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 768, 3200, 5, 0, 5,,,,,,,,, L2, DMA, 1728, 1728, 128, 223616, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 66b80, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 34, TIDL_EltWiseLayer, 256, 40, 40, 128, 40, 40, 256,  COL, 0, 0, 3200, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 3280, 3280, 32, 209920, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 35, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 0, 0, 864, 3200, 4, 1, 4,,,,,,,,, L2, DMA, 1728, 1728, 128, 223104, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 70480, ,,,,,,,, MSMC, DMA, 320, 256, 128, 41984, 0, 66080, ,,,,,,,, 
 36, TIDL_ConvolutionLayer, 128, 40, 40, 128, 40, 40, 128, ROW_L, 164, 192, 768, 3200, 5, 0, 5,,,,,,,,, L2, DMA, 1728, 1728, 128, 223616, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 66b80, ,,,,,,,, NONE, NA, 2304, 2304, 128, 0, 0, ffffffff, ,,,,,,,, 
 37, TIDL_EltWiseLayer, 256, 40, 40, 128, 40, 40, 256,  COL, 0, 0, 3200, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 3280, 3280, 32, 209920, 0, 0, ,,,,,,,, MSMC, CPU, 3264, 3200, 128, 417920, 0, 0, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 38, TIDL_ConcatLayer, 256, 40, 40, 256, 40, 40, 256,  COL, 0, 0, 3200, 3200, 8, 0, 8,,,,,,,,, L2, DMA, 3280, 3280, 64, 209920, 0, 0, MSMC, CPU, 3264, 3200, 64, 208896, 0, 66080, DDR, DMA, 3200, 3200, 256, 820224, 0, 280c00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 39, TIDL_ConvolutionLayer, 256, 40, 40, 256, 40, 40, 256, ROW_L, 0, 0, 416, 3200, 8, 1, 8,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, MSMC, CPU, 448, 416, 256, 229376, 0, 0, DDR, DMA, 4032, 3200, 256, 1033216, 0, 349000, ,,,,,,,, MSMC, DMA, 576, 512, 256, 149504, 0, 66080, ,,,,,,,, 
 40, TIDL_ConvolutionLayer, 256, 40, 40, 512, 20, 20, 256, ROW_L, 80, 80, 320, 3200, 10, 0, 10,,,,,,,,, L2, DMA, 832, 832, 256, 215680, 0, 0, ,,,,,,,, MSMC, CPU, 832, 802, 512, 426112, 0, 0, ,,,,,,,, NONE, NA, 4608, 4608, 512, 0, 0, ffffffff, ,,,,,,,, 
 41, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 1, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 0, ,,,,,,,, MSMC, DMA, 1088, 1024, 256, 280576, 0, 68080, ,,,,,,,, 
 42, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 840, 840, 256, 215296, 0, 80, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 34080, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 43, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 840, 840, 256, 215296, 0, 80, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 34080, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 44, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 840, 840, 256, 215296, 0, 80, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 68100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 45, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 840, 840, 256, 215296, 0, 80, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 68100, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 46, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 840, 840, 256, 215296, 0, 80, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 9c180, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 47, TIDL_PoolingLayer, 256, 20, 20, 256, 20, 20, 256,  COL, 0, 0, 800, 800, 1, 0, 1,,,,,,,,, L2, DMA, 840, 840, 256, 215296, 0, 80, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 9c180, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 48, TIDL_ConcatLayer, 1024, 20, 20, 1024, 20, 20, 1024,  COL, 0, 0, 800, 800, 16, 0, 16,,,,,,,,, L2, DMA, 840, 840, 128, 107520, 0, 0, MSMC, CPU, 832, 800, 128, 106496, 0, d0200, DDR, DMA, 800, 800, 1024, 820224, 0, 280c00, ,,,,,,,, MSMC, DMA, 0, 0, 0, 0, 0, ffffffff, ,,,,,,,, 
 49, TIDL_ConvolutionLayer, 1024, 20, 20, 512, 20, 20, 1024, ROW_L, 0, 0, 96, 800, 9, 0, 9,,,,,,,,, L2, DMA, 192, 192, 1024, 197504, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 512, 426112, 0, 0, ,,,,,,,, NONE, NA, 2048, 2048, 512, 0, 0, ffffffff, ,,,,,,,, 
 50, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 1, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, ac880, ,,,,,,,, MSMC, DMA, 1088, 1024, 256, 280576, 0, 68080, ,,,,,,,, 
 51, TIDL_ConvolutionLayer, 512, 20, 20, 256, 20, 20, 512, ROW_L, 0, 0, 160, 800, 5, 1, 5,,,,,,,,, L2, DMA, 320, 320, 512, 164480, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 0, ,,,,,,,, MSMC, DMA, 1088, 1024, 256, 280576, 0, 68080, ,,,,,,,, 
 52, TIDL_ConvolutionLayer, 256, 20, 20, 256, 20, 20, 256, ROW_L, 0, 0, 416, 800, 2, 1, 2,,,,,,,,, L2, DMA, 832, 832, 256, 213120, 0, 0, ,,,,,,,, MSMC, CPU, 832, 800, 256, 213120, 0, 0, ,,,,,,,, MSMC, DMA, 576, 512, 256, 149504, 0, 34080, ,,,,,,,, 
