 lyrNum , LyrType,      Fr,      Fc,     Grp,   strdX,   strdY,multiCoreMode,    Pool,  pooKer, pooStrd,enableBias,      Ni,      No,     InW,     InH,    outW,    outH,procTime(us),LayerCycles,kernelOnlyCycles,coreLoopCycles,LayerSetupCycles,dmaPipeupCycles,   IOcyles,inVol(KB),outVol(KB),wtVol(KB), srcMem-IN, dstMem-IN,srcMem-OUT,dstMem-OUT, srcMem-WT, dstMem-WT,MSMCBW-R(M),MSMCBW-W(M),DDRBW-R(M),DDRBW-W(M),dataFlow,
      91,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     128,      40,      40,      40,      40,  262.67,262672.84,240949.50,240949.50, 8600.00,13123.33,100647.33,800.00,400.00, 65.00,      MSMC,        L2,        L2,       DDR,       DDR,      MSMC,    0.86,    0.47,    0.07,    0.40,       1,
      92,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40, 8780.70,8780698.75,8760648.75,8760648.75, 7000.00,13050.00,120083.33,400.00,400.00,289.00,       DDR,        L2,      MSMC,       DDR,       DDR,       DDR,    0.29,    0.69,    0.69,    0.40,       1,
      93,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40, 8780.70,8780698.75,8760648.75,8760648.75, 7000.00,13050.00,120083.33,400.00,400.00,289.00,       DDR,        L2,      MSMC,       DDR,       DDR,       DDR,    0.29,    0.69,    0.69,    0.40,       1,
      94,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       6,      40,      40,      40,      40,   68.42,68420.00,15747.60,45336.67, 7100.00,15983.33,45336.67,400.00, 18.75,  1.62,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.02,    0.40,    0.00,       1,
      95,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40, 8452.62,8452616.08,8436832.75,8436832.75, 7000.00, 8783.33,137510.00,400.00,400.00,289.00,       DDR,        L2,      MSMC,       DDR,       DDR,       DDR,    0.29,    0.69,    0.69,    0.40,       1,
      96,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      40,      40,      40,      40, 8452.62,8452616.08,8436832.75,8436832.75, 7000.00, 8783.33,137510.00,400.00,400.00,289.00,       DDR,        L2,      MSMC,       DDR,       DDR,       DDR,    0.29,    0.69,    0.69,    0.40,       1,
      97,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       4,      40,      40,      40,      40,   67.14,67136.67,15747.60,45336.67, 6300.00,15500.00,45336.67,400.00, 12.50,  1.12,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.01,    0.40,    0.00,       1,
      98,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       1,      40,      40,      40,      40,   68.17,68170.00,15747.60,45336.67, 7100.00,15733.33,45336.67,400.00,  3.12,  0.38,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.00,    0.40,    0.00,       1,
      99,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      11,      11,      40,      40,      40,      40,   20.25,20250.00, 2117.50, 3416.67,16500.00,  333.33, 3416.67, 34.38, 34.38,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.03,    0.03,    0.00,    0.00,       2,
     100,TIDL_ConvolutionLayer,       3,       3,       1,       2,       2,       0,       0,       0,       1,         1,     256,     256,      40,      40,      20,      20,51917.74,51917741.00,51909431.00,51909431.00, 5500.00, 2810.00,27594.00,800.00,200.50,1154.00,      MSMC,        L2,       DDR,       DDR,       DDR,       DDR,    1.95,    1.35,    1.15,    0.20,       1,
     101,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     512,     512,      20,      20,      20,      20,   77.96,77960.00,14740.00,59243.33,11000.00, 7716.67,59243.33,440.00,400.00,  0.00,       DDR,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.00,    0.40,    0.44,    0.00,       2,
     102,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     256,      20,      20,      20,      20, 1813.75,1813751.83,1804588.50,1804588.50, 5500.00, 3663.33,16018.67,400.00,200.00,258.00,      MSMC,        L2,      NONE,      MSMC,       DDR,       DDR,    0.66,    0.46,    0.26,    0.00,       1,
     103,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     256,      20,      20,      20,      20,  277.29,277291.83,227628.50,227628.50, 7100.00,42563.33,16018.67,400.00,200.00,258.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.66,    0.46,    0.26,    0.00,       1,
     104,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,      20,      20,      20,      20,  150.68,150681.67,118085.00,118085.00, 7100.00,25496.67, 3066.00,200.00,200.00,130.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.33,    0.33,    0.13,    0.00,       1,
     105,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     256,     256,      20,      20,      20,      20,10715.88,10715878.33,10706715.00,10706715.00, 5500.00, 3663.33, 4254.67,200.00,200.00,1154.00,      MSMC,        L2,      NONE,      MSMC,       DDR,       DDR,    1.35,    1.35,    1.15,    0.00,       1,
     106,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,     512,     512,      20,      20,      20,      20,   93.05,93049.33,14410.00,77312.67,12500.00, 3236.67,77312.67,400.00,400.00,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.40,    0.40,    0.00,    0.40,       2,
     107,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     512,      20,      20,      20,      20, 3632.91,3632905.17,3608588.50,3608588.50, 7000.00,17316.67,171210.00,400.00,400.00,516.00,       DDR,        L2,      MSMC,       DDR,       DDR,       DDR,    0.52,    0.92,    0.92,    0.40,       1,
     108,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     512,     128,      20,      20,      20,      20,  925.41,925405.17,902588.50,902588.50, 5500.00,17316.67,76093.33,400.00,100.00,129.00,       DDR,        L2,      NONE,      MSMC,       DDR,       DDR,    0.13,    0.23,    0.53,    0.00,       1,
     109,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      20,      20,      20,      20,  305.10,305103.70,253733.70,253733.70, 7100.00,44270.00,    0.00,100.00,100.00,289.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.39,    0.39,    0.29,    0.00,       1,
     110,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      20,      20,      20,      20,  305.10,305103.70,253733.70,253733.70, 7100.00,44270.00,    0.00,100.00,100.00,289.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.39,    0.39,    0.29,    0.00,       1,
     111,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       6,      20,      20,      20,      20,   13.54,13541.97, 3655.30, 3655.30, 6300.00, 3586.67,    0.00,100.00,  4.75,  1.62,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.10,    0.01,    0.00,    0.00,       1,
     112,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      20,      20,      20,      20,  305.10,305103.70,253733.70,253733.70, 7100.00,44270.00,    0.00,100.00,100.00,289.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.39,    0.39,    0.29,    0.00,       1,
     113,TIDL_ConvolutionLayer,       3,       3,       1,       1,       1,       0,       0,       0,       1,         1,     128,     128,      20,      20,      20,      20,  305.10,305103.70,253733.70,253733.70, 7100.00,44270.00,    0.00,100.00,100.00,289.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.39,    0.39,    0.29,    0.00,       1,
     114,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       4,      20,      20,      20,      20,   14.69,14691.97, 3655.30, 3655.30, 7100.00, 3936.67,    0.00,100.00,  3.12,  1.12,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.10,    0.00,    0.00,    0.00,       1,
     115,TIDL_ConvolutionLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         1,     128,       1,      20,      20,      20,      20,   14.54,14541.97, 3655.30, 3655.30, 7100.00, 3786.67,    0.00,100.00,  0.88,  0.38,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.10,    0.00,    0.00,    0.00,       1,
     116,TIDL_ConcatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      11,      11,      20,      20,      20,      20,   19.53,19530.00, 1210.00, 2756.67,16500.00,  273.33, 2756.67,  8.62,  8.62,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.01,    0.01,    0.00,    0.00,       2,
     117,TIDL_DetectionOutputLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,      11,       1,      80,      80,    1405,       1,   44.75,44750.00,  871.22,33166.67, 8500.00, 3083.33,33166.67,137.50,  5.50,  0.00,      MSMC,        L2,      NONE,      MSMC,       DDR,      MSMC,    0.14,    0.01,    0.00,    0.00,       2,
     118,TIDL_OdOutputReformatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       1,       1,    1405,       1,       5,     200,    7.68, 7683.33,  107.89,  286.67, 7000.00,  396.67,  286.67,  5.50,  4.00,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.01,    0.00,    0.00,    0.00,       2,
     120,TIDL_DataLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       1,       0,       5,     200,       0,       0,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,  0.00,  0.00,  0.00,       DDR,        L2,      NONE,       DDR,      NONE,      MSMC,    0.00,    0.00,    0.00,    0.00,       3,
     119,TIDL_OdOutputReformatLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       1,       1,    1405,       1,     200,       1,    7.79, 7793.33,   81.58,  396.67, 7000.00,  396.67,  396.67,  5.50,  0.88,  0.00,      MSMC,        L2,      MSMC,       DDR,       DDR,      MSMC,    0.01,    0.00,    0.00,    0.00,       2,
     121,TIDL_DataLayer,       1,       1,       1,       1,       1,       0,       0,       0,       1,         0,       1,       0,     200,       1,       0,       0,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,    0.00,  0.00,  0.00,  0.00,       DDR,        L2,      NONE,       DDR,      NONE,      MSMC,    0.00,    0.00,    0.00,    0.00,       3,
-------------------------Network summary-----------------------
Release version = TI_NETWORK_COMPILER_10.00.00
Total Network Cycles (mega)        =   366.18
total Network time (us)          = 366181.28
MSMC SRAM BW (Mega Bytes) : Read  =    36.62
MSMC SRAM BW (Mega Bytes) : Write =   106.46
MSMC SRAM BW (Mega Bytes) : Total =   143.08
DDR BW (Mega Bytes) : Read  =   119.67
DDR BW (Mega Bytes) : Write =    68.70
DDR BW (Mega Bytes) : Total =   188.37
---------------------------------------------------------------
*********   Configuration Parameters - For internal/debug use only *************
CPUFREQ_MHZ  = 1000
L2MEMSIZE_KB  =  224
MATPANELSIZE  =   32
LOOPSETUP_CYCLES  =   75
LAYERSETUP_CYCLES  = 6000
MMACORELOOP_OH  =  103
NUMCORES  =    1
CORE_START_IDX  =    0
MSMCSIZE_KB  = 1024
BUSWIDTH_L3_L2  = 1024
BUSWIDTH_DDR  =   32
DDRFREQ_MHZ  = 3200
NUMEMIF_PORTS  =    1
DDR_EFFICIENCY  = 0.60
MSMC_EFFICIENCY  = 0.90
L2_EFFICIENCY  = 0.95
BANKCONFLICTFACT  = 1.10
MSMC_READFACT  = 3.00
DATATYPE  =    1
INWIDTH  =  640
INHEIGHT  =  640
NUMCHANNELS  =    3
NUM_BIAS_INSTANCE  =    1
NUM_PANELSPLITS_VERTICAL  =    1
NUM_WRITEPORTS_L3  =    1
NUM_SE_READPORTS_L3  =    0
NUM_SE_READPORTS_L2  =    2
NUM_DRU_PORTS  =    1
BPANEL_WRITE_PORTS  =    1
NUM_LUT_WRITEMMA  =    0
BATCH_SIZE  =    1
